revenue_diversity_score,view_count_sum,channel,name_cc
3,13441.0,UC-xAz4bcfz_VKysaWlG7slA,AtHomeWithNatalie
3,317.0,UC-xHLQn-irCR49Hsg06iR8Q,ElectroDanceMixtapes...
1,7044.0,UC-xONqXUrR4gvBUH6cntj7A,pSykSG
4,738765.0,UC-xPS5EMmu0OdmKE26P5KnQ,MarkGFL
0,6850.0,UC-x_DsqUIGzv42kQ526E0_A,AutoEdits
5,527107.0,UC-xczyljpDKuM00-45OUrvg,Vino Farm
2,2378.0,UC-xszMeVOaPZ2IP1OSeIMsA,NUTEQ ENTERTAINMENT
3,23579.0,UC-y2mkf95VCf5zjEzigiVDw,AdrianXpression
2,305.0,UC-yDiHGGxqUZut6cKPKrkqQ,TRUMPETSIZZLE
1,641257.0,UC-yMTfEJJpdfdy4ekPjXSrw,Magma Mobile
4,57134746.0,UC-yXuc1__OzjwpsJPlxYUCQ,WORLDSTARHIPHOP
5,4605251.0,UC-yewGHQbNFpDrGM0diZOLA,Sargon of Akkad
2,2653.0,UC-yo7ZxZ9vWF5eOZ8jNCj1w,StoneBridge
3,121770.0,UC-z6h5U6LeE4D7rUbqxBZ8A,Stormie Grace
3,1163978.0,UC-z8sF6hRmf4QRNHRjnzZUQ,David Walsh Online
3,861.0,UC-zQrTSagO_XrE9GIsTNMSA,Chelsi Madonna
3,4110.0,UC-zY-SGViPUrZV0g4yWMkVQ,Sakura of America
1,264978.0,UC-zli_bkgDz6mNKKUlBySpg,Shiva Krishnan
2,5925.0,UC-ztqxh7f0WA3BBWukSPxeg,Ghetto Vegans
3,69246.0,UC0-4Z63Y93bzVP58Y8e1xmw,~Silver Swirls~
3,47111.0,UC0-Es69T6KAm1z-ZOc-I0Rw,Adventures of Roku
2,765.0,UC0-GNzm-kJFWdT_UPHRg0Ug,Jambareeqi
